dataset,category,anomaly_type,split,label,image_path,mask_path,image_width,image_height,image_area_pixels,defect_area_pixels,defect_area_ratio,defect_area_percent_of_full_image
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\000.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\000\000.png,1600,1280,2048000,1172249,0.57238720703125,57.238720703125004
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\001.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\001\000.png,1600,1280,2048000,1168084,0.570353515625,57.035351562500004
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\002.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\002\000.png,1600,1280,2048000,1167298,0.5699697265625,56.99697265625
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\003.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\003\000.png,1600,1280,2048000,262429,0.12813916015625,12.813916015624999
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\004.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\004\000.png,1600,1280,2048000,293412,0.143267578125,14.326757812499999
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\005.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\005\000.png,1600,1280,2048000,288981,0.14110400390625,14.110400390625
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\006.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\006\000.png,1600,1280,2048000,251820,0.122958984375,12.2958984375
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\007.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\007\000.png,1600,1280,2048000,271148,0.132396484375,13.239648437500001
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\008.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\008\000.png,1600,1280,2048000,253264,0.1236640625,12.36640625
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\009.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\009\000.png,1600,1280,2048000,246346,0.1202861328125,12.02861328125
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\010.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\010\000.png,1600,1280,2048000,261743,0.12780419921875,12.780419921875
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\011.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\011\000.png,1600,1280,2048000,234296,0.11440234375,11.440234375
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\012.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\012\000.png,1600,1280,2048000,250552,0.12233984375,12.233984375
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\013.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\013\000.png,1600,1280,2048000,232843,0.11369287109375,11.369287109375
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\014.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\014\000.png,1600,1280,2048000,232537,0.11354345703125,11.354345703125
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\015.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\015\000.png,1600,1280,2048000,236803,0.11562646484375,11.562646484375
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\016.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\016\000.png,1600,1280,2048000,238075,0.11624755859375,11.624755859375
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\017.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\017\000.png,1600,1280,2048000,231981,0.11327197265625,11.327197265625
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\018.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\018\000.png,1600,1280,2048000,245541,0.11989306640625,11.989306640625
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\019.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\019\000.png,1600,1280,2048000,242772,0.118541015625,11.8541015625
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\020.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\020\000.png,1600,1280,2048000,249074,0.1216181640625,12.16181640625
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\021.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\021\000.png,1600,1280,2048000,247733,0.12096337890625,12.096337890625
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\022.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\022\000.png,1600,1280,2048000,247891,0.12104052734375,12.104052734375
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\023.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\023\000.png,1600,1280,2048000,244764,0.119513671875,11.9513671875
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\024.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\024\000.png,1600,1280,2048000,256713,0.12534814453125,12.534814453125001
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\025.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\025\000.png,1600,1280,2048000,447492,0.218501953125,21.850195312500002
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\026.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\026\000.png,1600,1280,2048000,407283,0.19886865234375,19.886865234375
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\027.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\027\000.png,1600,1280,2048000,406910,0.1986865234375,19.86865234375
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\028.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\028\000.png,1600,1280,2048000,399124,0.194884765625,19.4884765625
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\029.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\029\000.png,1600,1280,2048000,432534,0.2111982421875,21.11982421875
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\030.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\030\000.png,1600,1280,2048000,422771,0.20643115234375,20.643115234375
MVTec_LOCO_AD,breakfast_box,logical_anomalies,test,anomaly,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\031.png,D:\patchcore\data\mvtec_loco_anomaly_detection\breakfast_box\ground_truth\logical_anomalies\031\000.png,1600,1280,2048000,432142,0.2110068359375,21.10068359375
