category,defect_type,image_path,mask_path,image_width,image_height,image_area_pixels,defect_area_pixels,defect_area_ratio_of_full_image,defect_area_percent_of_full_image
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\000.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\000_mask.png,900,900,810000,88192,0.10887901234567901,10.8879012345679
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\001.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\001_mask.png,900,900,810000,76641,0.09461851851851852,9.461851851851852
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\002.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\002_mask.png,900,900,810000,125835,0.15535185185185185,15.535185185185185
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\003.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\003_mask.png,900,900,810000,222091,0.27418641975308644,27.418641975308645
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\004.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\004_mask.png,900,900,810000,33132,0.040903703703703706,4.090370370370371
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\005.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\005_mask.png,900,900,810000,33201,0.04098888888888889,4.098888888888888
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\006.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\006_mask.png,900,900,810000,123810,0.15285185185185185,15.285185185185185
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\007.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\007_mask.png,900,900,810000,130952,0.16166913580246914,16.166913580246913
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\008.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\008_mask.png,900,900,810000,105614,0.13038765432098764,13.038765432098764
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\009.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\009_mask.png,900,900,810000,70875,0.0875,8.75
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\010.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\010_mask.png,900,900,810000,90028,0.11114567901234568,11.114567901234567
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\011.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\011_mask.png,900,900,810000,60540,0.07474074074074075,7.474074074074075
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\012.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\012_mask.png,900,900,810000,70457,0.08698395061728395,8.698395061728394
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\013.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\013_mask.png,900,900,810000,109290,0.13492592592592592,13.492592592592592
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\014.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\014_mask.png,900,900,810000,38206,0.0471679012345679,4.71679012345679
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\015.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\015_mask.png,900,900,810000,75659,0.09340617283950617,9.340617283950618
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\016.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\016_mask.png,900,900,810000,118913,0.14680617283950617,14.680617283950617
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\017.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\017_mask.png,900,900,810000,114063,0.1408185185185185,14.081851851851852
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\018.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\018_mask.png,900,900,810000,106080,0.13096296296296298,13.096296296296298
bottle,broken_large,D:\patchcore\data\mvtec\bottle\test\broken_large\019.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_large\019_mask.png,900,900,810000,102217,0.12619382716049382,12.619382716049381
bottle,broken_small,D:\patchcore\data\mvtec\bottle\test\broken_small\000.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_small\000_mask.png,900,900,810000,7166,0.008846913580246914,0.8846913580246915
bottle,broken_small,D:\patchcore\data\mvtec\bottle\test\broken_small\001.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_small\001_mask.png,900,900,810000,11966,0.01477283950617284,1.477283950617284
bottle,broken_small,D:\patchcore\data\mvtec\bottle\test\broken_small\002.png,D:\patchcore\data\mvtec\bottle\ground_truth\broken_small\002_mask.png,900,900,810000,29456,0.03636543209876543,3.636543209876543
